sto_id,sto_descripcion,sto_codigo
1,Analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions.,SO1
2,"Design, implement, and evaluate a computing-based solution to meet a given set of computing requirements in the context of the program’s discipline.",SO2
3,Communicate effectively in a variety of professional contexts.,SO3
4,Recognize professional responsibilities and make informed judgments in computing practice based on legal and ethical principles.,SO4
5,Function effectively as a member or leader of a team engaged in activities appropriate to the program’s discipline.,SO5
6, Apply computer science theory and software development fundamentals to produce computing-based solutions.,SO6
